nome,telefone,email,senha,cnpj,endereco,nomeArquivoEstoque,AgendaContatosClientes
raia,123,raia@gmail.com,123,123,joao pessoa/95/null/null/null/null/null/null,null,null
pacheco,1223,@gmail,senhaLixo,cnpj,rua azul/numero/complemento/null/null/null/null/null,null,null
pacheco,12345678,@gmail,senhaLixo,cnpj,rua azul/numero/complemento/null/null/null/null/null,null,null
Pacheco,12345678,@gmail,senhaLixo,cnpj,Rua 10/numero/complemento/null/null/null/null/null,null,null
Pacheco,12345678,pacheco@gmail.com,123,123456,Rua azul/12/casa 3/null/null/null/null/null,null,null
pacheco 2,12349999,@gmail,senhaLixo,cnpj,rua 20/numero/complemento/null/null/null/null/null,null,null
drigaria,234566789,@gmail,senhaLixo,cnpj,rua 10/numero/complemento/null/null/null/null/null,null,null
1,1,1,1,1,1/1/1/null/null/null/null/null,null,null
1,1,1,1,1,1/1/1/null/null/null/null/null,null,null
1,1,@gmail,senhaLixo,cnpj,1/numero/complemento/null/null/null/null/null,null,null
Farmacia 1,1111111,@gmail,senhaLixo,cnpj,Rua 1 número 1/numero/complemento/null/null/null/null/null,null,null
Farmacia 1,1111111,@gmail,senhaLixo,cnpj,Rua 1 número 1/numero/complemento/null/null/null/null/null,null,null
Farmacia Teste,11999998888,farmacia@teste.com,senhaForte123,12345678000199,Rua das Farmacias/456/Sala 2/null/null/null/null/null,null,null
